borough,neighborhood,postal_code
,,
"Not assigned
","Not assigned
","M1A
"
"Not assigned
","Not assigned
","M2A
"
"North York
","Parkwoods
","M3A
"
"North York
","Victoria Village
","M4A
"
"Downtown Toronto
","Regent Park, Harbourfront
","M5A
"
"North York
","Lawrence Manor, Lawrence Heights
","M6A
"
"Downtown Toronto
","Queen's Park, Ontario Provincial Government
","M7A
"
"Not assigned
","Not assigned
","M8A
"
"Etobicoke
","Islington Avenue, Humber Valley Village
","M9A
"
"Scarborough
","Malvern, Rouge
","M1B
"
"Not assigned
","Not assigned
","M2B
"
"North York
","Don Mills
","M3B
"
"East York
","Parkview Hill, Woodbine Gardens
","M4B
"
"Downtown Toronto
","Garden District, Ryerson
","M5B
"
"North York
","Glencairn
","M6B
"
"Not assigned
","Not assigned
","M7B
"
"Not assigned
","Not assigned
","M8B
"
"Etobicoke
","West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale
","M9B
"
"Scarborough
","Rouge Hill, Port Union, Highland Creek
","M1C
"
"Not assigned
","Not assigned
","M2C
"
"North York
","Don Mills
","M3C
"
"East York
","Woodbine Heights
","M4C
"
"Downtown Toronto
","St. James Town
","M5C
"
"York
","Humewood-Cedarvale
","M6C
"
"Not assigned
","Not assigned
","M7C
"
"Not assigned
","Not assigned
","M8C
"
"Etobicoke
","Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood
","M9C
"
"Scarborough
","Guildwood, Morningside, West Hill
","M1E
"
"Not assigned
","Not assigned
","M2E
"
"Not assigned
","Not assigned
","M3E
"
"East Toronto
","The Beaches
","M4E
"
"Downtown Toronto
","Berczy Park
","M5E
"
"York
","Caledonia-Fairbanks
","M6E
"
"Not assigned
","Not assigned
","M7E
"
"Not assigned
","Not assigned
","M8E
"
"Not assigned
","Not assigned
","M9E
"
"Scarborough
","Woburn
","M1G
"
"Not assigned
","Not assigned
","M2G
"
"Not assigned
","Not assigned
","M3G
"
"East York
","Leaside
","M4G
"
"Downtown Toronto
","Central Bay Street
","M5G
"
"Downtown Toronto
","Christie
","M6G
"
"Not assigned
","Not assigned
","M7G
"
"Not assigned
","Not assigned
","M8G
"
"Not assigned
","Not assigned
","M9G
"
"Scarborough
","Cedarbrae
","M1H
"
"North York
","Hillcrest Village
","M2H
"
"North York
","Bathurst Manor, Wilson Heights, Downsview North
","M3H
"
"East York
","Thorncliffe Park
","M4H
"
"Downtown Toronto
","Richmond, Adelaide, King
","M5H
"
"West Toronto
","Dufferin, Dovercourt Village
","M6H
"
"Not assigned
","Not assigned
","M7H
"
"Not assigned
","Not assigned
","M8H
"
"Not assigned
","Not assigned
","M9H
"
"Scarborough
","Scarborough Village
","M1J
"
"North York
","Fairview, Henry Farm, Oriole
","M2J
"
"North York
","Northwood Park, York University
","M3J
"
"East York
","East Toronto, Broadview North (Old East York)
","M4J
"
"Downtown Toronto
","Harbourfront East, Union Station, Toronto Islands
","M5J
"
"West Toronto
","Little Portugal, Trinity
","M6J
"
"Not assigned
","Not assigned
","M7J
"
"Not assigned
","Not assigned
","M8J
"
"Not assigned
","Not assigned
","M9J
"
"Scarborough
","Kennedy Park, Ionview, East Birchmount Park
","M1K
"
"North York
","Bayview Village
","M2K
"
"North York
","Downsview
","M3K
"
"East Toronto
","The Danforth West, Riverdale
","M4K
"
"Downtown Toronto
","Toronto Dominion Centre, Design Exchange
","M5K
"
"West Toronto
","Brockton, Parkdale Village, Exhibition Place
","M6K
"
"Not assigned
","Not assigned
","M7K
"
"Not assigned
","Not assigned
","M8K
"
"Not assigned
","Not assigned
","M9K
"
"Scarborough
","Golden Mile, Clairlea, Oakridge
","M1L
"
"North York
","York Mills, Silver Hills
","M2L
"
"North York
","Downsview
","M3L
"
"East Toronto
","India Bazaar, The Beaches West
","M4L
"
"Downtown Toronto
","Commerce Court, Victoria Hotel
","M5L
"
"North York
","North Park, Maple Leaf Park, Upwood Park
","M6L
"
"Not assigned
","Not assigned
","M7L
"
"Not assigned
","Not assigned
","M8L
"
"North York
","Humber Summit
","M9L
"
"Scarborough
","Cliffside, Cliffcrest, Scarborough Village West
","M1M
"
"North York
","Willowdale, Newtonbrook
","M2M
"
"North York
","Downsview
","M3M
"
"East Toronto
","Studio District
","M4M
"
"North York
","Bedford Park, Lawrence Manor East
","M5M
"
"York
","Del Ray, Mount Dennis, Keelsdale and Silverthorn
","M6M
"
"Not assigned
","Not assigned
","M7M
"
"Not assigned
","Not assigned
","M8M
"
"North York
","Humberlea, Emery
","M9M
"
